_id,tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,periode_data
75,2018-02-10T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Deli Lorong 26,Koja,Koja,Kota Administrasi Jakarta Utara,0,0,201802
76,2018-02-10T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Lembah Aren 10 Blok K.1, Kavling DKI",Pondok kelapa,Duren Sawit,Kota Administrasi Jakarta Timur,0,0,201802
77,2018-02-10T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Ampera Raya Gg. Melati,Cilandak Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201802
78,2018-02-10T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Pinding No.40,Cipedak,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,201802
79,2018-02-11T00:00:00,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Bambu Kuning Utara 2,Cipayung,Cipayung,Kota Administrasi Jakarta Timur,0,0,201802
80,2018-02-10T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Rw.008 Kampung Melayu,Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,201802
81,2018-02-10T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Kayu Manis,Bale Kambang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
82,2018-02-11T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.AMD 10 No 57,Petukangan Utara,Pesanggrahan,Kota Administrasi Jakarta Selatan,1,7500000,201802
83,2018-02-11T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Rasa Mala Raya Gg.marzuki,Menteng Dalam,Tebet,Kota Administrasi Jakarta Selatan,0,0,201802
84,2018-02-11T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl.AMD V,SMA 63",Petukangan Utara,Pesanggrahan,Kota Administrasi Jakarta Selatan,0,0,201802
85,2018-02-11T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Pegadengan Timur Dalam,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
86,2018-02-11T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Kapten Tendean Gg.Jati,Mampang Prapatan,Mampang Prapatan,Kota Administrasi Jakarta Selatan,0,0,201802
87,2018-02-11T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Pegadengan Timur,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
88,2018-02-11T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Jendral Gatot Subroto,Mampang Prapatan,Mampang Prapatan,Kota Administrasi Jakarta Selatan,0,0,201802
89,2018-02-11T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Tanjung Samyang,Cawang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
90,2018-02-11T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Jembatan I,Bale Kambang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
91,2018-02-11T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl.Gg.Mushola Al-Hikmah,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
92,2018-02-05T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl.Lenteng Agung Gg.Turi,Lenteng Agung,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,201802
93,2018-02-05T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Tmn Villa Meruya F3 No 14,Meruya Selatan,Kembangan,Kota Administrasi Jakarta Barat,0,0,201802
94,2018-02-05T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Pangeran Jayakarta,Pinangsia,Tamansari,Kota Administrasi Jakarta Barat,0,0,201802
95,2018-02-06T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Kemuning Dalam I,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201802
96,2018-02-06T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Masjid Al - Makmur,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201802
97,2018-02-06T00:00:00,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Pemadam,Sekirtaran Monas dan Bundaran HI,Gambir,Gambir,Kota Administrasi Jakarta Pusat,0,0,201802
98,2018-02-06T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Gunung Sahari Raya,Pasar Baru,Sawah Besar,Kota Administrasi Jakarta Pusat,0,0,201802
99,2018-02-06T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Kartini II,Kartini,Sawah Besar,Kota Administrasi Jakarta Pusat,0,0,201802
100,2018-02-06T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Bungur Besar Raya,Kemayoran,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,201802
101,2018-02-06T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Gunuk V,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201802
102,2018-02-06T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Pengadegan Timur III,Pangadegan,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
103,2018-02-06T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. Boulevard Barat Depan Graha KWS,Kelapa Gading Barat,Kelapa Gading,Kota Administrasi Jakarta Utara,0,0,201802
104,2018-02-06T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Jl. J. Gang Perintis,Kebon Baru,Tebet,Kota Administrasi Jakarta Selatan,0,0,201802
105,2018-02-06T00:00:00,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Jakarta Siaga 112,Jl. Cililitan Kecil No.57,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
106,2018-02-06T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Gedung Kementrian Luar Negri,Senen,Senen,Kota Administrasi Jakarta Pusat,0,0,201802
107,2018-02-06T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Raya Semanan No.67,Semanan,Kalideres,Kota Administrasi Jakarta Barat,0,0,201802
108,2018-02-06T00:00:00,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. I Gusti Ngurah Rai,Malaka Jaya,Duren Sawit,Kota Administrasi Jakarta Timur,0,100000000,201802
109,2018-02-06T00:00:00,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Penjernihan I Dalam,Bendungan Hilir,Tanah Abang,Kota Administrasi Jakarta Pusat,0,0,201802
110,2018-02-06T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. TB. Simanupang No.20,Tanjung Barat,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,201802
111,2018-02-07T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Prapanca Raya,Petogogan,Kebayoran Baru,Kota Administrasi Jakarta Selatan,0,0,201802
112,2018-02-07T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Buntu (Rt 05/08 dan Rt 17/07),Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201802
113,2018-02-07T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Raya Jatinegara Barat (Kp. Pulo),Kampung Mester/Melayu,Jatinegara,Kota Administrasi Jakarta Timur,0,0,201802
114,2018-02-07T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Gudang Peluru,Kebon Baru,Tebet,Kota Administrasi Jakarta Selatan,0,0,201802
115,2018-02-07T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Ciliwung Ujung,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
116,2018-02-07T00:00:00,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Jembatan 1,Bale Kambang,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
117,2018-02-07T00:00:00,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Masyarakat Datang,Jl. Lenteng Agung Raya,Lenteng Agung,Jagakarsa,Kota Administrasi Jakarta Selatan,0,0,201802
118,2018-02-07T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Lingkungan Rt 05/04,Marunda,Cilincing,Kota Administrasi Jakarta Utara,0,0,201802
119,2018-02-07T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Gg. H. Sukur,Kamal,Kalideres,Kota Administrasi Jakarta Barat,0,0,201802
120,2018-02-07T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Sunan Giri (Pasar Sunan Giri),Rawamangun,Pulogadung,Kota Administrasi Jakarta Timur,0,0,201802
121,2018-02-07T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Gunung Sahari Raya,Gunung Sahari Selatan,Kemayoran,Kota Administrasi Jakarta Pusat,0,0,201802
122,2018-02-07T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Mangga Besar IX, Gg. Langgar",Tangki,Tamansari,Kota Administrasi Jakarta Barat,21,1125000000,201802
123,2018-02-07T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Manggarai Selatan,Manggarai Selatan,Tebet,Kota Administrasi Jakarta Selatan,0,0,201802
124,2018-02-07T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Ciliwung 1,Cililitan,Kramat Jati,Kota Administrasi Jakarta Timur,0,0,201802
125,2018-02-07T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Gunuk,Pejaten Timur,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201802
126,2018-02-07T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Kemang Utara 2B, No. 18",Bangka,Mampang Prapatan,Kota Administrasi Jakarta Selatan,0,0,201802
127,2018-02-07T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Rawa Gabus, No. 3",Kapuk,Cengkareng,Kota Administrasi Jakarta Barat,0,0,201802
128,2018-02-07T00:00:00,Penyelamatan,Pertolongan Gawat Darurat (Ambulan).,Petugas Pemadam,"Jl. K.H. Zainul Arifin, No. 71 (Kantor Dinas Damkar)",Duri Pulo,Gambir,Kota Administrasi Jakarta Pusat,0,0,201802
129,2018-02-07T00:00:00,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Sawah Lio, Gg. 12",Jembatan Lima,Tambora,Kota Administrasi Jakarta Barat,0,10000000,201802
130,2018-02-07T00:00:00,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl. Paso (Kav. Polri),Ragunan,Pasar Minggu,Kota Administrasi Jakarta Selatan,0,0,201802
131,2018-02-07T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Pintu II Yamaha Motor,Rawa Terate,Cakung,Kota Administrasi Jakarta Timur,0,0,201802
132,2018-02-07T00:00:00,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Tumping I Blok CENo. 6,Pondok kelapa,Duren Sawit,Kota Administrasi Jakarta Timur,0,0,201802
133,2018-02-07T00:00:00,Bantuan Operasi,Kerja Bakti,Masyarakat Datang,Jl. Bina Warga ( Komp Zeni V ),Rawajati,Pancoran,Kota Administrasi Jakarta Selatan,0,0,201802
